,,,,
,,,,
CAR,# OF CATS,TOTAL SALE,CURRENT SALE,EXTRA CAT VALUE
FORD TAURUS,3,$212 ,125.46,$87 
FORD WINDSTAR,2,$246 ,125.46,$121 
FORD CROWN VIC,4,$238 ,125.46,$113 
FORD EXPLORER,4,$294 ,125.46,$169 
FORD EXPEDITION,4,$294 ,125.46,$169 
FORD FUSION,2,$173 ,125.46,$48 
FORD F150,2,$202 ,125.46,$77 
FORD MUSTANG,4,$222 ,125.46,$97 
FORD EDGE,2,$202 ,125.46,$77 
FORD ESCAPE,3,$208 ,125.46,$83 
FORD E150,2,$202 ,125.46,$77 
LINCOLN NAVIGATOR,4,$270 ,125.46,$145 
LINCOLN TOWN CAR,3,$201 ,125.46,$76 
LINCOLN CONTINENTAL,4,$270 ,125.46,$145 
LINCOLN MKX,2,$202 ,125.46,$77 
LINCOLN MKZ,2,$202 ,125.46,$77 
LINCOLN MKS,2,$178 ,125.46,$53 
MERCUYRY MARINER,2,$202 ,125.46,$77 
MERCURY MOUNTAINEER,3,$252 ,125.46,$127 
MERCURY GRAND MARQUIS,4,$238 ,125.46,$113 
MERCURY SABLE,3,$212 ,125.46,$87 
BMW X SERIES,2,$178 ,125.46,$53 
BMW 330,2,$178 ,125.46,$53 
JAGUAR S TYPE,2,$246 ,125.46,$121 
CHRYSLER 300,2,$246 ,125.46,$121 
CHRYSLER 200,2,$246 ,125.46,$121 
JEEP GRAND CHEROKEE,2,$178 ,125.46,$53 
JEEP COMPASS,2,$178 ,125.46,$53 
JEEP LIBERTY,2,$178 ,125.46,$53 
MERCEDES BENZ,4,$266 ,125.46,$141 
LANDROVER,2,$178 ,125.46,$53 
HONDA ODYSSEY,3,$195 ,125.46,$70 